crm,Y1601,Y1602,Y1603,Y1604,Y1605,Y1606,Y1607,Y1608,Y1609,Y1610,Y1611,Y1612,Y1701,Y1702,Y1703,Y1704,Y1705,Y1706,Y1707,Y1708,Y1709,Y1710,Y1711,Y1712,Y1801,Y1802,Y1803,Y1804,Y1805,Y1806,Y1807
1160,5528,15960,12090,-2303,20751,3098,9888,26945,-298,13284,13580,12430,12785,31809,21323,15919,-649,28216,24574,14164,19480,5795,20575,19126,4539,26328,20378,8981,27100,12485,1896
1161,698,15968,-295,3547,5926,4695,3497,6095,9691,9190,4194,9986,501,13188,-1600,519,-1798,14085,2997,3396,6793,897,-101,2396,7091,-1398,948,4394,8091,4695,5348
1163,22277,18407,27269,23954,20317,21316,-2978,14433,22680,16683,17479,19681,20279,13986,12287,26174,26075,34418,17484,19780,4794,36368,18975,3295,31664,13583,21877,5991,28269,13283,17281
1167,9474,16236,25783,18812,14391,9996,1494,14606,19884,12590,20733,38717,8344,18132,5906,14740,5082,7940,13614,6994,4495,19682,23859,18664,3714,8446,-2079,38641,6068,24879,28180
1168,9189,1518,7937,8737,7141,10743,3946,8493,4996,10091,4595,13089,1798,11790,-5388,9691,9091,5196,16986,23180,8091,14986,2598,5196,800,7592,3196,3097,5894,2697,3798
1172,16636,28215,25311,7529,5692,47033,11214,16986,30772,23377,14437,24419,25847,16034,40463,29477,10289,37568,24979,25576,20682,21184,26475,32671,14087,18784,20083,21680,12036,20183,35370
1173,67534,74615,29954,27284,36068,47934,14880,13883,30198,51552,21379,1471,35212,45819,63896,41162,56855,39863,24677,19881,34473,20481,23580,8090,15687,54255,71437,50958,63154,60343,1200
1189,24974,22971,21794,15741,10948,18279,22678,26372,10936,19982,20080,29774,9291,10988,19980,14584,24078,20883,27873,20578,5894,-46756,2297,8492,1349,4995,-3597,2698,3446,4096,100
1192,24649,5919,40300,16811,44195,13588,25576,27675,29275,13897,33873,11790,31572,28277,21879,50459,32673,47859,22232,38966,40269,12039,14884,17877,25976,19984,24380,19280,34972,19182,36669
1198,25628,16852,-175,3661,38516,5390,11586,11087,12788,12288,13087,10190,19683,5196,-200,25477,10687,24281,2697,27176,12185,21678,25176,23079,7293,18381,17832,2898,8091,28876,8393
1200,11354,8768,12769,15196,9297,5787,12782,13483,14676,10985,14302,-825,6789,3918,20123,4869,4570,12585,7289,17583,20905,3670,13701,9312,11264,12612,10163,13034,10963,20753,6367
1202,26068,28673,13966,29631,25650,8881,25662,28717,40250,21378,17387,27270,30569,25320,37263,20925,23875,22321,7190,23873,17079,11337,19677,17277,19574,30362,23570,22175,23342,11189,35459
1204,6786,4760,3186,5903,7953,-1198,11584,6392,5097,1796,8293,5693,13287,7592,17584,-1702,5196,9491,15388,6992,8693,6593,7192,8898,10192,23776,21776,9192,-2198,15385,8893
