crm,Y1701,Y1702,Y1703,Y1704,Y1705,Y1706,Y1707,Y1801,Y1802,Y1803,Y1804,Y1805,Y1806,Y1807
1569,23667,24470,49445,12184,63635,6287,46297,24475,44056,36960,36860,33068,8186,20940
1571,16924,31662,14178,26661,27320,32458,22019,48687,38204,53431,31954,25965,21522,39597
1578,3896,3596,12990,2995,15986,14537,5499,11288,28574,5394,18184,-18582,-1398,7794
1582,9992,23268,20777,36612,23219,37651,22948,14730,26946,20679,49192,38160,18576,11735
1586,2497,17580,7588,11485,3497,7592,2697,7293,16384,7192,6790,6394,4594,12988
1589,11289,934,5196,6786,17122,5659,5543,3596,2998,3596,11188,5794,14186,9390
1591,4941,5728,-5623,4893,-22,6008,6112,2810,3231,3904,560,800,640,5240
1593,6590,10387,17629,10885,25169,28570,11284,7495,5690,11229,8190,13388,13485,18380
1597,1308,5438,7413,8483,3290,1770,2875,2525,4563,14635,11540,21080,15800,24240
1598,25774,24178,27874,5350,22074,32772,31470,27808,14985,23878,22675,14985,12807,30431
1599,3996,3602,5836,32199,52423,33386,33923,13221,14731,15877,18960,26240,19320,304
1602,2598,1798,3696,3897,3897,10891,9592,6594,8293,5595,2598,9192,1200,9192
1606,5692,12633,16281,11380,18976,6090,15779,9885,6988,-3094,16174,-899,7889,4096
1607,22276,24378,18089,3951,8691,18386,7992,9691,21274,10791,9986,39540,-10095,16982
1610,5895,1759,-2400,798,1996,3887,2594,-3600,6087,2646,1691,6784,1591,6788
1611,798,3396,8386,7392,-3798,-200,4790,8085,900,5894,4194,5294,-2598,11186
1615,6208,2294,13684,5194,4194,14184,5013,14481,15186,25563,25327,14687,-3298,3494
1616,30371,9188,25968,20180,46757,5290,19879,12706,25674,9891,45958,34372,31172,37459
1620,13384,4095,11488,7313,24176,5543,7392,6194,16782,14384,8990,8689,3596,12287
1623,16382,11089,15337,3449,14486,9293,3296,14088,8891,9091,8891,14988,11888,10990
1624,3895,37461,10910,9390,27971,20231,16486,11587,17284,21379,20178,1599,36065,9393
1625,16083,18280,5493,19580,37664,31164,18182,27275,12986,17978,14891,26374,34368,18481
1629,24771,21673,10184,24567,27068,19372,22275,11284,8436,3792,3992,14084,19150,12634
1632,15889,16483,18985,6592,27076,29575,8489,12936,28876,27073,11189,26775,34869,40565
1635,6748,5196,11190,18085,12091,22582,10840,8491,8194,998,20384,3097,20784,26277
1641,699,2798,5095,2396,2796,6444,5593,4994,10290,5394,3895,13988,5996,2297
1642,18178,-1699,7291,4994,15186,8592,9690,10188,6295,6293,11388,17483,5293,4793
1645,6495,12991,17287,6994,22083,26979,17083,8792,5596,14188,3196,11690,24780,27680
1647,10190,5138,20631,6047,11684,5242,18184,9587,14631,8591,13787,28890,6495,10138
1648,7794,-1200,5095,8939,8194,2598,4396,10392,9291,-1598,4396,8392,1499,598
1652,8592,10291,10190,3595,7991,7293,2995,2793,11888,4392,3294,13684,597,2497
1654,5592,11289,7394,6095,5493,4396,11089,-800,5695,900,19283,-498,8240,7194
1655,9374,9188,28649,22798,24976,22739,12426,6596,8888,15281,9588,13686,12694,16284
1657,3094,9289,7592,4494,7790,6093,9088,6792,17282,8490,10850,9192,8392,7792
1662,1396,-399,7489,15281,6390,10290,24880,5194,3695,5994,4992,8285,4293,8643
1663,6595,5096,-701,1398,11285,9586,7588,4943,9840,1595,10888,13482,14584,13781
1664,1299,8792,-2598,-1798,6194,13988,1398,4697,11690,5990,4795,-798,9192,11190
1665,1398,2793,13797,10372,9488,11643,12188,19578,23037,12487,14782,6324,18681,897
1667,3795,3995,-400,8589,1998,6392,5394,-899,5146,2047,999,8192,-999,6194
