crm,Y0901,Y0902,Y0903,Y0904,Y0905,Y0906,Y0907,Y0908,Y0909,Y0910,Y0911,Y0912,Y1001,Y1002,Y1003,Y1004,Y1005,Y1006,Y1007,Y1008,Y1009,Y1010,Y1011,Y1012,Y1101,Y1102,Y1103,Y1104,Y1105,Y1106,Y1107,Y1108,Y1109,Y1110,Y1111,Y1112,Y1201,Y1202,Y1203,Y1204,Y1205,Y1206,Y1207,Y1208,Y1209,Y1210,Y1211,Y1212,Y1301,Y1302,Y1303,Y1304,Y1305,Y1306,Y1307,Y1308,Y1309,Y1310,Y1311,Y1312,Y1401,Y1402,Y1403,Y1404,Y1405,Y1406,Y1407,Y1408,Y1409,Y1410,Y1411,Y1412,Y1501,Y1502,Y1503,Y1504,Y1505,Y1506,Y1507,Y1508,Y1509,Y1510,Y1511,Y1512,Y1601,Y1602,Y1603,Y1604,Y1605,Y1606,Y1607,Y1608,Y1609,Y1610,Y1611,Y1612,Y1701,Y1702,Y1703,Y1704,Y1705,Y1706,Y1707,Y1708,Y1709,Y1710,Y1711,Y1712,Y1801,Y1802,Y1803,Y1804,Y1805,Y1806,Y1807
1033,-1518,-18393,21324,-4384,-325,-1274,7883,5012,5393,5243,6255,38250,-12732,3349,-1051,13239,8889,6083,7869,1122,7345,11635,4340,18278,1304,-4223,51,2423,9063,6296,1831,2199,7244,-2200,9222,106,3154,3234,4790,5221,4094,3443,1972,648,2048,-2998,5761,1877,4454,4400,2931,499,2348,5194,3064,4847,11827,2446,3265,1757,2729,3397,5793,4734,494,4628,3319,1891,2494,1756,4494,3036,2756,-11,225,,225,12297,3655,3336,930,-2399,2491,8849,8257,6427,232,3346,-326,6492,3191,5893,2594,8537,2493,5344,2645,2944,7559,6043,-859,2501,7706,2416,2597,1545,,,,,,,,,
1034,8225,-885,1680,6027,1697,13154,2498,967,3647,1332,13517,16454,4679,4728,5960,3481,7606,13639,13438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,15569,18058,11122,16295,13527,5461,9658,12408,15983,25587,29635,21037,14558,5255,7972,647,25273,20304,27395,15726,19757,22318,37104,9600,14012,4797,23263,31120,45306,13632,23170,40432,25682,32111,26954,22378,18400,10322,38663,35018,32007,27613,20103,18947,7739,45410,10672,31433,4350,17475,39107,15782,28134,27590,23527,16583,19677,6556,25365,47399,35663,11669,75882,37224,46496,53512,32598,40952,60942,20835,25363,39563,37654,21144,-3984,-5473,-4308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,8077,12047,4007,13000,17557,11732,10820,23640,10734,10340,24355,21761,7741,13224,22886,17810,22082,12452,30145,8310,17148,15465,11603,21545,14581,11537,25367,25466,25507,14896,13295,15101,8563,30202,24494,26491,13804,15005,17081,12538,29014,15760,30997,19282,15201,22392,21736,8899,30237,23410,24386,15000,11672,12770,21126,-681,3900,8441,28192,22533,-1077,8269,7754,12723,10534,9640,18312,12373,12750,16880,10916,13700,18607,11214,14964,16580,9502,12006,22596,7254,17441,3967,16755,19774,12366,10662,33453,16668,30882,14330,19970,21129,-7696,19432,15991,15085,7494,14486,20780,25477,21677,22726,18081,14382,16634,17634,18927,20875,8941,20879,22778,12484,39357,30013,14482
1037,9391,1198,10305,3213,18796,8773,4676,5312,4379,-133,11605,6144,4862,-483,5062,15129,15673,24179,1481,,-2564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,33600,82887,51087,45154,51642,35077,38646,61391,56624,52383,75749,90787,61559,48778,86816,79150,58513,120608,91206,84476,95642,82243,61699,30310,77744,69376,80229,67047,60467,108046,62836,101092,48913,88620,96509,18906,94849,105732,79123,56965,119056,51789,91582,78290,66911,91597,59626,46082,90746,90885,95510,82686,114458,63847,77159,63445,68557,92704,87078,32837,60457,48442,124417,78939,119207,81051,144391,149671,97135,69716,45334,20776,83009,98333,105077,89422,55036,112091,70916,147401,145239,106564,59677,-2750,140580,44596,69162,25514,87981,72212,62277,131821,107293,117866,91109,93299,91800,118896,123176,109479,113631,94758,135361,116781,83360,147591,147086,111579,53640,97646,75414,128261,126219,94094,77206
1040,23411,35879,22200,46868,39016,45704,23818,35924,27140,40037,26566,41844,34879,59573,4664,38993,41740,27152,11937,52981,15848,44243,33996,33840,66561,-5828,5113,34187,18922,33320,13658,29268,36803,18603,24768,51664,33926,22921,27340,25102,29060,5647,29882,17175,29866,14641,14393,29525,14735,26567,15726,24231,31756,42712,31181,15165,18877,40636,45182,25280,44776,23361,28075,24601,12441,-6356,-698,,,-498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,,,,22214,-1335,16440,42965,10288,3455,19597,37372,10652,11484,38751,2244,16986,18339,9869,8862,24036,21020,28952,16930,10711,12600,22427,8806,18822,12510,13211,22739,4741,26999,20444,11797,22991,15854,11218,20787,14585,14442,22410,13611,12084,12123,8953,17774,14348,15336,25189,26594,21352,35954,25386,20934,18710,19571,22183,12279,4997,20954,2540,19785,26027,21942,17561,15191,14475,22607,23723,3799,14864,18312,14921,16866,16045,13606,22504,15492,28885,19684,23988,24578,8208,12768,26503,21060,23346,18111,35087,38225,43247,12535,22768,-1699,8845,40413,33079,28000,21206,24422,5822,21026,35987,17815,20890,30054,39078,9816,22521,29494,32256,17153,30862,25917
1042,14599,24438,20386,7202,22725,48251,22052,24668,30520,19245,7573,32080,24673,16275,27424,34727,18934,29055,32311,20588,10698,18871,26919,22768,23571,27473,-6521,14265,15695,39241,17655,34439,21366,29061,23616,33070,15624,20202,14769,21801,20278,20725,12765,15600,20503,19501,18448,31892,-1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,6689,4395,12835,6726,10189,297,2541,22391,13822,10884,10182,8789,8990,17625,8436,10381,7892,10328,17468,13247,15781,6704,5938,8538,2083,7296,13138,11325,12611,15571,7470,11757,7932,3275,12003,12673,11095,17935,4513,6607,9731,11949,9591,11187,8542,18005,19490,12370,13554,7485,27568,15079,19879,14025,10522,30000,25448,30588,23956,19843,17789,30220,25653,22170,26164,54335,22960,27274,4894,29738,34096,19170,20275,12568,10115,15361,11961,18992,21367,20612,8487,20905,4860,16821,13702,17811,9512,16208,23459,6191,8689,15175,9391,9986,16276,22971,25562,13384,9790,11584,19572,18970,6489,15879,6784,22864,14271,19365,5690,17370,4396,13778,18669,16569,14988
