headend_no,household_no,a,b,c,d,e,denominator
100264,12283,0,0,0,0,0,1
100264,12305,0,0,0,0,0,1
100264,123064,0,0,0,0,0,1
100264,123141,0,0,0,0,0,1
100264,1232,0,0,0,0,0,1
100264,123252,0,0,0,0,0,1
100264,123317,0,0,0,0,0,1
100264,123329,0,0,0,0,0,1
100264,123490,1,0,0,1,0,1
100264,123610,0,0,0,0,0,1
100264,123613,0,0,0,0,0,1
100264,123678,0,0,0,0,0,1
100264,123772,0,0,0,0,0,1
100264,123806,0,0,0,0,0,1
100264,12397,0,0,0,0,0,1
100264,124011,0,0,0,0,0,1
100264,124020,0,0,0,0,0,1
100264,124026,1,1,0,1,1,1
100264,124029,0,0,0,0,0,1
100264,12409,0,0,0,0,0,1
100264,124134,0,0,0,0,0,1
100264,124136,0,0,0,0,0,1
100264,124226,0,0,0,0,0,1
100264,124351,0,0,0,0,0,1
100264,124352,0,0,0,0,0,1
100264,124389,0,0,0,0,0,1
100264,124406,0,0,0,0,0,1
100264,124431,0,0,0,0,0,1
100264,12451,0,1,0,1,0,1
100264,12455,0,0,0,0,0,1
100264,124552,0,0,0,0,0,1
100264,124563,0,0,0,0,0,1
100264,124699,0,0,0,0,0,1
100264,124746,0,0,0,0,0,1
100264,124813,0,0,0,0,0,1
100264,124833,0,0,0,0,0,1
100264,124905,0,0,0,0,0,1
100264,12493,0,0,0,0,0,1
100264,12508,0,0,0,0,0,1
100264,125117,0,0,0,0,0,1
100264,125160,1,1,0,1,0,1
100264,125239,0,0,0,0,0,1
100264,125524,0,0,0,0,0,1
100264,125568,0,0,0,0,0,1
100264,125577,0,0,0,0,0,1
100264,125605,0,0,0,0,0,1
100264,125680,0,0,0,0,0,1
100264,125723,0,0,0,0,0,1
100264,125760,0,0,0,0,0,1
100264,1259,0,0,0,0,0,1
100264,126038,0,0,0,0,0,1
100264,126185,0,0,0,0,0,1
100264,126213,0,0,0,0,0,1
100264,126244,0,0,0,0,0,1
100264,12626,0,0,0,0,0,1
100264,126315,0,0,0,0,0,1
100264,126465,0,0,0,0,0,1
100264,126584,0,0,0,0,0,1
100264,12665,0,0,0,0,0,1
100264,12667,0,0,0,0,0,1
100264,126683,0,0,0,0,0,1
100264,126716,0,0,0,0,0,1
100264,126756,0,0,0,0,0,1
100264,126757,0,0,0,0,0,1
100264,126762,0,0,0,0,0,1
100264,126823,0,0,0,0,0,1
100264,126872,0,0,0,0,0,1
100264,126877,0,0,0,0,0,1
100264,126898,0,0,0,0,0,1
100264,126904,0,0,0,0,0,1
100264,127004,0,0,0,0,0,1
100264,127006,0,0,0,0,0,1
100264,127077,0,0,0,1,0,1
100264,127137,0,0,0,0,0,1
100264,12714,0,0,0,0,0,1
100264,127163,0,0,0,0,0,1
100264,127168,0,0,0,0,0,1
100264,127251,0,0,0,0,0,1
100264,127323,0,0,0,0,0,1
100264,12753,0,0,0,0,0,1
100264,127602,0,0,0,0,0,1
100264,127690,0,0,0,0,0,1
100264,127757,0,0,0,0,0,1
100264,127853,0,0,0,0,0,1
100264,127873,0,0,0,0,0,1
100264,127992,0,0,0,0,0,1
100264,128030,0,0,0,0,0,1
100264,128056,0,0,0,0,0,1
100264,128305,0,0,0,0,0,1
100264,128475,0,0,0,0,0,1
100264,128489,0,0,0,0,0,1
100264,128492,0,0,0,0,0,1
100264,128660,0,0,0,0,0,1
100264,12869,0,0,0,0,0,1
